date,fund,return,growth_of_1,drawdown
2021-05-17,Combined Equal Weight,-0.008442744291785171,1.7987810247515583,-0.016262263800927546
2021-05-18,Combined Equal Weight,-0.004358603510738576,1.7909408514620262,-0.02054998655157081
2021-05-19,Combined Equal Weight,-0.05502496853780312,1.6923943874572618,-0.07444419272592151
2021-05-20,Combined Equal Weight,0.0316634356068711,1.7459814081659446,-0.04513791602173334
2021-05-21,Combined Equal Weight,-0.02149782473760328,1.7084466058580794,-0.06566537375168069
2021-05-24,Combined Equal Weight,0.047287331314570705,1.7892344865425442,-0.02148318272160077
2021-05-25,Combined Equal Weight,-0.004097105160568199,1.7819038046942643,-0.02549226902337476
2021-05-26,Combined Equal Weight,0.014872081029443266,1.808404422464351,-0.010999311084471386
2021-05-27,Combined Equal Weight,-0.003959701442402558,1.8012436808642718,-0.0149154585389073
2021-05-28,Combined Equal Weight,-0.011492925379301376,1.7805421216501607,-0.026236961666222913
2021-06-01,Combined Equal Weight,0.0019320991050394568,1.7839823054898862,-0.024355554971337567
2021-06-02,Combined Equal Weight,0.005887695082374621,1.7944858493369622,-0.01861125797019625
2021-06-03,Combined Equal Weight,0.006975701709594549,1.8070036473440254,-0.011765382844642014
2021-06-04,Combined Equal Weight,-0.006163965303206661,1.795865339559029,-0.01785682673621547
2021-06-07,Combined Equal Weight,-0.01536834264353445,1.7682658656790384,-0.03295073954794148
2021-06-08,Combined Equal Weight,-0.002371154567070978,1.764073033995838,-0.03524376281844499
2021-06-09,Combined Equal Weight,0.007302707257698667,1.77695554294431,-0.028198430443269085
2021-06-10,Combined Equal Weight,-0.004799715458690143,1.768426661955435,-0.032862801459449864
2021-06-11,Combined Equal Weight,-0.005929566468440188,1.7579406585188084,-0.038597505762297146
2021-06-14,Combined Equal Weight,0.0007492351693836756,1.7592577694858602,-0.03787718920168104
2021-06-15,Combined Equal Weight,0.0008401618357091985,1.7607358307229573,-0.03706885033478302
2021-06-16,Combined Equal Weight,-0.018244472644723612,1.7286121340247476,-0.054637021353602266
2021-06-17,Combined Equal Weight,-0.005570700136612286,1.7189825541735861,-0.05990335502789601
2021-06-18,Combined Equal Weight,-0.022182970428932653,1.6808504150065022,-0.08075749110365105
2021-06-21,Combined Equal Weight,-0.017547477815348333,1.6513557296382566,-0.09688787863543491
2021-06-22,Combined Equal Weight,-0.004652135019746894,1.6436733998183468,-0.10108927816199287
2021-06-23,Combined Equal Weight,0.0114251516164361,1.6624526176191745,-0.09081908687535356
