trading_date,ticker,sector,article_count,text,word_count
2020-02-21,DIS,Consumer,6,"1 Trend That Exposes the Massive Vulnerability of Traditional Pay-TV Providers | 10 Stock Picks With Peter Lynch Qualities | 3 Reasons Why Globant Stock Is Surging | DISH Network Quarterly Numbers Say It Needs to Grow Its Wireless Business ... and Fast | Hasbro and Disney Agree to Release Marvel and Star Wars Toys | Hasbro, Disney Renew Agreements For Marvel And Star Wars Franchises",66
2020-02-21,KO,Consumer,9,"Benzinga Pro's Top 5 Stocks To Watch For Fri., Feb. 21, 2020: PEP, SDGR, ZS, DPW, HPQ | Coca-Cola Maintains FY20 Outlook; Provides COVID-19 Impact On Q1 - Quick Facts | Coca-Cola Reaffirms FY20 Guidance Amid Coronavirus Outbreak | Daily Dividend Report: RY,KO,PLD,WRB,ABBV | Dow Jones Today: Flight to Safety Dings Stocks | Financial Sector Stocks Could Be In Focus Today As Treasury Yields Falter, But Deere Shines | Lululemon Trades Down, Coca-Cola Investors Stay Positive After Coronavirus Updates | UPDATE: Coca-Cola Sees 2-3 Point Impact to Unit Case Volume, 1-2 Point Impact To Organic Sales, $0.01-$0.02 Impact To EPS In Q1 Related To Coronavirus | Why Coca-Cola Isn't Worried About the Coronavirus Impact",114
2020-02-21,NKE,Consumer,3,"Better Buy: Disney vs. Nike | Down Double Digits After Reporting Earnings, What's Next for Under Armour? | Lululemon Among Companies Hardest Hit by Coronavirus in China",27
2020-02-21,SBUX,Consumer,4,Friday's Market Minute: Coronavirus Outlook Remains Cloudy | Notable Two Hundred Day Moving Average Cross - SBUX | The Coronavirus Is a Counterintuitive Gift for Luckin Coffee | Why Luckin Stock Is Brewing to Be a Buy No Matter What,40
2020-02-21,COP,Energy,2,"Noteworthy ETF Inflows: VDE, CVX, COP, SLB | Shares of several oil and gas companies are trading lower amid continued coronavirus concerns, which have negatively impacted demand outlook.",28
2020-02-21,CVX,Energy,2,"Energy Sector Update for 02/21/2020: BKR, XOM, CVX, RDS.A, RDS.B, BP, E, COP, TOT, PBR, PBR.A, EC, SLB, HAL, NOV, SPN | Energy Sector Update for 02/21/2020: VAL, ERF, LNG, XOM, CVX, COP, SLB, OXY",35
2020-02-21,OXY,Energy,4,"Occidental (OXY) to Report Q4 Earnings: What's in the Cards? | ROSEN, NATIONAL INVESTOR COUNSEL, Announces Filing of Securities Class Action Lawsuit Against ... | Shares of several oil and gas companies are trading lower amid continued coronavirus concerns, which have negatively impacted demand outlook. | Zacks Value Trader Highlights: AbbVie, Allergan, Occidental, Chevron and CVS",56
2020-02-21,SLB,Energy,3,"Mairs and Power: Top 4th-Quarter Trades | Noteworthy ETF Inflows: VDE, CVX, COP, SLB | Shares of several oil and gas companies are trading lower amid continued coronavirus concerns, which have negatively impacted demand outlook.",35
2020-02-21,XOM,Energy,4,"Energy Sector Update for 02/21/2020: BKR, XOM, CVX, RDS.A, RDS.B, BP, E, COP, TOT, PBR, PBR.A, EC, SLB, HAL, NOV, SPN | Energy Sector Update for 02/21/2020: VAL, ERF, LNG, XOM, CVX, COP, SLB, OXY | Shares of several oil and gas companies are trading lower amid continued coronavirus concerns, which have negatively impacted demand outlook. | Stocks That Hit 52-Week Lows On Friday",64
2020-02-21,GS,Financials,1,The Hidden Winners From Tesla's Stock Offering,7
